Profile,Mode,Repetition,Sample_Index,Latency_ms
R1,SEMANTICSHIELD,2,4,1.1886
R1,SEMANTICSHIELD,2,5,1.3054
R1,SEMANTICSHIELD,2,6,1.3708
R1,SEMANTICSHIELD,2,7,1.2549
R1,SEMANTICSHIELD,2,8,1.2649
R1,SEMANTICSHIELD,2,9,1.3544
R1,SEMANTICSHIELD,2,10,1.9863
R1,SEMANTICSHIELD,2,11,1.7392
R1,SEMANTICSHIELD,2,12,1.4454
R1,SEMANTICSHIELD,2,13,1.1163
R1,SEMANTICSHIELD,2,14,1.3749
R1,SEMANTICSHIELD,2,15,1.0242
R1,SEMANTICSHIELD,2,16,1.1067
R1,SEMANTICSHIELD,2,17,2.0141
R1,SEMANTICSHIELD,2,18,2.4801
R1,SEMANTICSHIELD,2,19,2.4291
R1,SEMANTICSHIELD,2,20,2.4988
R1,SEMANTICSHIELD,3,1,1.7250
R1,SEMANTICSHIELD,3,2,1.4920
R1,SEMANTICSHIELD,3,3,1.5231
R1,SEMANTICSHIELD,3,4,1.1886
R1,SEMANTICSHIELD,3,5,1.3054
R1,SEMANTICSHIELD,3,6,1.3708
R1,SEMANTICSHIELD,3,7,1.2549
R1,SEMANTICSHIELD,3,8,1.2649
R1,SEMANTICSHIELD,3,9,1.3544
R1,SEMANTICSHIELD,3,10,1.9863
R1,SEMANTICSHIELD,3,11,1.7392
R1,SEMANTICSHIELD,3,12,1.4454
R1,SEMANTICSHIELD,3,13,1.1163
R1,SEMANTICSHIELD,3,14,1.3749
R1,SEMANTICSHIELD,3,15,1.0242
R1,SEMANTICSHIELD,3,16,1.1067
R1,SEMANTICSHIELD,3,17,2.0141
R1,SEMANTICSHIELD,3,18,2.4801
R1,SEMANTICSHIELD,3,19,2.4291
R1,SEMANTICSHIELD,3,20,2.4988
R1,SEMANTICSHIELD,4,1,1.7250
R1,SEMANTICSHIELD,4,2,1.4920
R1,SEMANTICSHIELD,4,3,1.5231
R1,SEMANTICSHIELD,4,4,1.1886
R1,SEMANTICSHIELD,4,5,1.3054
R1,SEMANTICSHIELD,4,6,1.3708
R1,SEMANTICSHIELD,4,7,1.2549
R1,SEMANTICSHIELD,4,8,1.2649
R1,SEMANTICSHIELD,4,9,1.3544
R1,SEMANTICSHIELD,4,10,1.9863
R1,SEMANTICSHIELD,4,11,1.7392
R1,SEMANTICSHIELD,4,12,1.4454
R1,SEMANTICSHIELD,4,13,1.1163
R1,SEMANTICSHIELD,4,14,1.3749
